Name,Comment,Likes,Reply_Count,Time,date,hour,month,Tokenize,stemmed,compound,neg,neu,pos,polarity,subjectivity,empath_score,Reply_Class,Like_Class,sentiment_status
Saanchi Bhatt,ayush and barkha just nailed that last sceneand also the way the song kachche dhaage plays is just so beautiful the entire scene is heartwarming,34,0,2021-06-30T03:55:01Z,30,3,6,"['ayush', 'and', 'barkha', 'just', 'nailed', 'that', 'last', 'sceneand', 'also', 'the', 'way', 'the', 'song', 'kachche', 'dhaage', 'plays', 'is', 'just', 'so', 'beautiful', 'the', 'entire', 'scene', 'is', 'heartwarming']","['ayush', 'and', 'barkha', 'just', 'nail', 'that', 'last', 'sceneand', 'also', 'the', 'way', 'the', 'song', 'kachch', 'dhaag', 'play', 'is', 'just', 'so', 'beauti', 'the', 'entir', 'scene', 'is', 'heartwarm']",0.8776,0.0,0.6859999999999999,0.314,0.2833333333,0.5638888889,0.4,0,1,neu
Yash Kukreja,i am just love with series watched each episode of both season many times i really want to meet ayush and barkha not know whats happening to me there are some scenes which are just touching my heart love you guys,0,0,2021-06-30T03:55:01Z,30,3,6,"['i', 'am', 'just', 'love', 'with', 'series', 'watched', 'each', 'episode', 'of', 'both', 'season', 'many', 'times', 'i', 'really', 'want', 'to', 'meet', 'ayush', 'and', 'barkha', 'not', 'know', 'whats', 'happening', 'to', 'me', 'there', 'are', 'some', 'scenes', 'which', 'are', 'just', 'touching', 'my', 'heart', 'love', 'you', 'guys']","['i', 'am', 'just', 'love', 'with', 'seri', 'watch', 'each', 'episod', 'of', 'both', 'season', 'mani', 'time', 'i', 'realli', 'want', 'to', 'meet', 'ayush', 'and', 'barkha', 'not', 'know', 'what', 'happen', 'to', 'me', 'there', 'are', 'some', 'scene', 'which', 'are', 'just', 'touch', 'my', 'heart', 'love', 'you', 'guy']",0.8748,0.0,0.7829999999999999,0.217,0.44,0.48,0.3658536585,0,0,neu
Priyankur Singh,ayush and barkha is the best fuckin combo in every web series,0,0,2021-06-27T10:33:52Z,27,10,6,"['ayush', 'and', 'barkha', 'is', 'the', 'best', 'fuckin', 'combo', 'in', 'every', 'web', 'series']","['ayush', 'and', 'barkha', 'is', 'the', 'best', 'fuckin', 'combo', 'in', 'everi', 'web', 'seri']",0.6369,0.0,0.7240000000000001,0.276,1.0,0.3,0.5833333333,0,0,neu
shradha jaju,did anyone know barkha singh was junior pooja in mujhse dosti karoge movie and i love her from that movie and that s my favourite movie did anyone knew this,1,0,2021-06-27T08:33:04Z,27,8,6,"['did', 'anyone', 'know', 'barkha', 'singh', 'was', 'junior', 'pooja', 'in', 'mujhse', 'dosti', 'karoge', 'movie', 'and', 'i', 'love', 'her', 'from', 'that', 'movie', 'and', 'that', 's', 'my', 'favourite', 'movie', 'did', 'anyone', 'knew', 'this']","['did', 'anyon', 'know', 'barkha', 'singh', 'was', 'junior', 'pooja', 'in', 'mujhs', 'dosti', 'karog', 'movi', 'and', 'i', 'love', 'her', 'from', 'that', 'movi', 'and', 'that', 's', 'my', 'favourit', 'movi', 'did', 'anyon', 'knew', 'this']",0.6369,0.0,0.865,0.135,0.5,0.6,0.2,0,1,neu
p graja,barkha is quality acting ayesh is also very good these are fine actors compared to obsolete bollywood actors,1,0,2021-06-26T12:25:11Z,26,12,6,"['barkha', 'is', 'quality', 'acting', 'ayesh', 'is', 'also', 'very', 'good', 'these', 'are', 'fine', 'actors', 'compared', 'to', 'obsolete', 'bollywood', 'actors']","['barkha', 'is', 'qualiti', 'act', 'ayesh', 'is', 'also', 'veri', 'good', 'these', 'are', 'fine', 'actor', 'compar', 'to', 'obsolet', 'bollywood', 'actor']",0.4201,0.099,0.6759999999999999,0.225,0.4422222222,0.42666666670000003,0.05555555556,0,1,neu
Dhanashree Karambe,ayush n barkha are the best n the sweetest couple of youtube love them forever,3,0,2021-06-25T08:42:37Z,25,8,6,"['ayush', 'n', 'barkha', 'are', 'the', 'best', 'n', 'the', 'sweetest', 'couple', 'of', 'youtube', 'love', 'them', 'forever']","['ayush', 'n', 'barkha', 'are', 'the', 'best', 'n', 'the', 'sweetest', 'coupl', 'of', 'youtub', 'love', 'them', 'forev']",0.8555,0.0,0.5670000000000001,0.433,0.75,0.45,0.4666666667,0,1,neu
Rennuga Kannan,plssssss more of barkha n ayush,0,0,2021-06-03T22:32:15Z,3,22,6,"['plssssss', 'more', 'of', 'barkha', 'n', 'ayush']","['plssssss', 'more', 'of', 'barkha', 'n', 'ayush']",0.0,0.0,1.0,0.0,0.5,0.5,0.0,0,0,neu
Riya Das Roll 53,ayush barkha awesome couple,7,0,2021-05-26T15:21:37Z,26,15,5,"['ayush', 'barkha', 'awesome', 'couple']","['ayush', 'barkha', 'awesom', 'coupl']",0.6249,0.0,0.423,0.5770000000000001,1.0,1.0,0.0,0,1,pos
MAVNAINU,barkha is actually too hot,1,0,2021-05-26T15:21:37Z,26,15,5,"['barkha', 'is', 'actually', 'too', 'hot']","['barkha', 'is', 'actual', 'too', 'hot']",0.0,0.0,1.0,0.0,0.125,0.475,0.6,0,1,neu
Sunil Munde,barkha and ayush cutest pair,28,0,2021-05-15T10:43:16Z,15,10,5,"['barkha', 'and', 'ayush', 'cutest', 'pair']","['barkha', 'and', 'ayush', 'cutest', 'pair']",0.5859,0.0,0.513,0.48700000000000004,0.0,0.0,0.2,0,1,neu
Dikshyas World,ayush are barkha are real couples theyre blushing throughout their scenes,0,0,2021-05-12T21:58:45Z,12,21,5,"['ayush', 'are', 'barkha', 'are', 'real', 'couples', 'theyre', 'blushing', 'throughout', 'their', 'scenes']","['ayush', 'are', 'barkha', 'are', 'real', 'coupl', 'theyr', 'blush', 'throughout', 'their', 'scene']",0.0,0.0,1.0,0.0,0.2,0.3,0.09090909091,0,0,neu
SWAPNIL DHABEKAR,these 2 r my all time fav fav web people barkha nd ayush,0,0,2021-05-11T14:40:16Z,11,14,5,"['these', '2', 'r', 'my', 'all', 'time', 'fav', 'fav', 'web', 'people', 'barkha', 'nd', 'ayush']","['these', '2', 'r', 'my', 'all', 'time', 'fav', 'fav', 'web', 'peopl', 'barkha', 'nd', 'ayush']",0.7184,0.0,0.6,0.4,0.0,0.0,0.3076923077,0,0,neu
Kum Pangrak,who can see barkha s tattoo that reminds you of girls on top,0,0,2021-05-11T14:40:16Z,11,14,5,"['who', 'can', 'see', 'barkha', 's', 'tattoo', 'that', 'reminds', 'you', 'of', 'girls', 'on', 'top']","['who', 'can', 'see', 'barkha', 's', 'tattoo', 'that', 'remind', 'you', 'of', 'girl', 'on', 'top']",0.2023,0.0,0.8590000000000001,0.141,0.5,0.5,0.3076923077,0,0,neu
Pranita Tamang,you both are lovely ayush and barkha,0,0,2021-05-11T13:43:58Z,11,13,5,"['you', 'both', 'are', 'lovely', 'ayush', 'and', 'barkha']","['you', 'both', 'are', 'love', 'ayush', 'and', 'barkha']",0.5859,0.0,0.612,0.38799999999999996,0.5,0.75,0.42857142859999997,0,0,neu
22 IMRAN KHAN 12 C,i love aayush and barkha but the character of anant leaves a special impression in my heart he is so jolly love to the entire cast loved the sereies,0,0,2021-05-09T09:44:17Z,9,9,5,"['i', 'love', 'aayush', 'and', 'barkha', 'but', 'the', 'character', 'of', 'anant', 'leaves', 'a', 'special', 'impression', 'in', 'my', 'heart', 'he', 'is', 'so', 'jolly', 'love', 'to', 'the', 'entire', 'cast', 'loved', 'the', 'sereies']","['i', 'love', 'aayush', 'and', 'barkha', 'but', 'the', 'charact', 'of', 'anant', 'leav', 'a', 'special', 'impress', 'in', 'my', 'heart', 'he', 'is', 'so', 'jolli', 'love', 'to', 'the', 'entir', 'cast', 'love', 'the', 'serei']",0.9809,0.0,0.451,0.5489999999999999,0.4114285714,0.6392857143,0.5172413793,0,0,pos
Spriha Mukherjee,ayush and barkha were amazing i mean it two most wonderful upcoming actors but how many of us actually acknowledged the people who put so much of effort behind this series how many of us actually acknowledged nayana shyam for directing this second season well a huge hug for nayana thanks for making such a beautiful second season and also the whole dice media team,12,0,2021-04-24T10:11:05Z,24,10,4,"['ayush', 'and', 'barkha', 'were', 'amazing', 'i', 'mean', 'it', 'two', 'most', 'wonderful', 'upcoming', 'actors', 'but', 'how', 'many', 'of', 'us', 'actually', 'acknowledged', 'the', 'people', 'who', 'put', 'so', 'much', 'of', 'effort', 'behind', 'this', 'series', 'how', 'many', 'of', 'us', 'actually', 'acknowledged', 'nayana', 'shyam', 'for', 'directing', 'this', 'second', 'season', 'well', 'a', 'huge', 'hug', 'for', 'nayana', 'thanks', 'for', 'making', 'such', 'a', 'beautiful', 'second', 'season', 'and', 'also', 'the', 'whole', 'dice', 'media', 'team']","['ayush', 'and', 'barkha', 'were', 'amaz', 'i', 'mean', 'it', 'two', 'most', 'wonder', 'upcom', 'actor', 'but', 'how', 'mani', 'of', 'us', 'actual', 'acknowledg', 'the', 'peopl', 'who', 'put', 'so', 'much', 'of', 'effort', 'behind', 'this', 'seri', 'how', 'mani', 'of', 'us', 'actual', 'acknowledg', 'nayana', 'shyam', 'for', 'direct', 'this', 'second', 'season', 'well', 'a', 'huge', 'hug', 'for', 'nayana', 'thank', 'for', 'make', 'such', 'a', 'beauti', 'second', 'season', 'and', 'also', 'the', 'whole', 'dice', 'media', 'team']",0.9746,0.0,0.698,0.302,0.2492647059,0.4816176471,0.2,0,1,neu
Arun kr Jana,i think that ayush sir and barkha mam are the best couple for this web series i love and respect them all the time the chemistry between them is so natural so i wish to get more specially brewed contents with barkha mam and ayush sir in future on dice media love you dice media and specially love you barkha mam and ayush sir,2,0,2021-04-20T08:58:20Z,20,8,4,"['i', 'think', 'that', 'ayush', 'sir', 'and', 'barkha', 'mam', 'are', 'the', 'best', 'couple', 'for', 'this', 'web', 'series', 'i', 'love', 'and', 'respect', 'them', 'all', 'the', 'time', 'the', 'chemistry', 'between', 'them', 'is', 'so', 'natural', 'so', 'i', 'wish', 'to', 'get', 'more', 'specially', 'brewed', 'contents', 'with', 'barkha', 'mam', 'and', 'ayush', 'sir', 'in', 'future', 'on', 'dice', 'media', 'love', 'you', 'dice', 'media', 'and', 'specially', 'love', 'you', 'barkha', 'mam', 'and', 'ayush', 'sir']","['i', 'think', 'that', 'ayush', 'sir', 'and', 'barkha', 'mam', 'are', 'the', 'best', 'coupl', 'for', 'this', 'web', 'seri', 'i', 'love', 'and', 'respect', 'them', 'all', 'the', 'time', 'the', 'chemistri', 'between', 'them', 'is', 'so', 'natur', 'so', 'i', 'wish', 'to', 'get', 'more', 'special', 'brew', 'content', 'with', 'barkha', 'mam', 'and', 'ayush', 'sir', 'in', 'futur', 'on', 'dice', 'media', 'love', 'you', 'dice', 'media', 'and', 'special', 'love', 'you', 'barkha', 'mam', 'and', 'ayush', 'sir']",0.9817,0.0,0.667,0.33299999999999996,0.4321428571,0.46205357140000003,0.515625,0,1,neu
Gaurav Umap,barkha and ayush looking so cute together love u both guys nice acting,0,0,2021-04-20T08:58:20Z,20,8,4,"['barkha', 'and', 'ayush', 'looking', 'so', 'cute', 'together', 'love', 'u', 'both', 'guys', 'nice', 'acting']","['barkha', 'and', 'ayush', 'look', 'so', 'cute', 'togeth', 'love', 'u', 'both', 'guy', 'nice', 'act']",0.9028,0.0,0.447,0.5529999999999999,0.4,0.65,1.0,0,0,pos
Smokn Demon,ayush bruhno matter how much you try to change the topic barkha isn t weak minded lmao,0,0,2021-04-19T10:39:46Z,19,10,4,"['ayush', 'bruhno', 'matter', 'how', 'much', 'you', 'try', 'to', 'change', 'the', 'topic', 'barkha', 'isn', 't', 'weak', 'minded', 'lmao']","['ayush', 'bruhno', 'matter', 'how', 'much', 'you', 'tri', 'to', 'chang', 'the', 'topic', 'barkha', 'isn', 't', 'weak', 'mind', 'lmao']",0.2732,0.139,0.622,0.239,0.1416666667,0.6083333333,0.2941176471,0,0,neu
1DIRECTION,bro what happened to your names aayush shaurya barkha sanya,0,0,2021-04-15T20:54:09Z,15,20,4,"['bro', 'what', 'happened', 'to', 'your', 'names', 'aayush', 'shaurya', 'barkha', 'sanya']","['bro', 'what', 'happen', 'to', 'your', 'name', 'aayush', 'shaurya', 'barkha', 'sanya']",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,neu
YOUR INFOTECH,barkha is my fav,0,0,2021-04-11T12:35:58Z,11,12,4,"['barkha', 'is', 'my', 'fav']","['barkha', 'is', 'my', 'fav']",0.4588,0.0,0.5,0.5,0.0,0.0,0.0,0,0,neu
Viraj Mashru,aayush and barkha are really look good together and yrr ye bandi kitni awesome hai yrr,0,0,2021-04-05T08:09:37Z,5,8,4,"['aayush', 'and', 'barkha', 'are', 'really', 'look', 'good', 'together', 'and', 'yrr', 'ye', 'bandi', 'kitni', 'awesome', 'hai', 'yrr']","['aayush', 'and', 'barkha', 'are', 'realli', 'look', 'good', 'togeth', 'and', 'yrr', 'ye', 'bandi', 'kitni', 'awesom', 'hai', 'yrr']",0.8062,0.0,0.6579999999999999,0.342,0.6333333333,0.6,0.0,0,0,neu
Balwant Singh Chauhan,ye whi barkha hain ky jo mountain trekker ke vlog me bhi thi,2,1,2021-03-25T02:39:06Z,25,2,3,"['ye', 'whi', 'barkha', 'hain', 'ky', 'jo', 'mountain', 'trekker', 'ke', 'vlog', 'me', 'bhi', 'thi']","['ye', 'whi', 'barkha', 'hain', 'ky', 'jo', 'mountain', 'trekker', 'ke', 'vlog', 'me', 'bhi', 'thi']",0.0,0.0,1.0,0.0,0.0,0.0,0.1538461538,1,1,neu
Sama Amin,barkha s character always wants to do post graduation first in home sweet office and now in this,13,0,2021-03-24T12:07:24Z,24,12,3,"['barkha', 's', 'character', 'always', 'wants', 'to', 'do', 'post', 'graduation', 'first', 'in', 'home', 'sweet', 'office', 'and', 'now', 'in', 'this']","['barkha', 's', 'charact', 'alway', 'want', 'to', 'do', 'post', 'graduat', 'first', 'in', 'home', 'sweet', 'offic', 'and', 'now', 'in', 'this']",0.4588,0.0,0.8420000000000001,0.158,0.2666666667,0.3611111111,1.111111111,0,1,neu
Suga Kookies with waRM Tae,barkha singh worked with ashish chanchlani didn t she,0,0,2021-03-21T11:05:42Z,21,11,3,"['barkha', 'singh', 'worked', 'with', 'ashish', 'chanchlani', 'didn', 't', 'she']","['barkha', 'singh', 'work', 'with', 'ashish', 'chanchlani', 'didn', 't', 'she']",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,neu
THE BANDITS ARTS,barkha ki acting and looking alia bhatt se bhi achi h but bad luck woh koi rich baap ke beti nahe h jo khud ka pesa bhur ke picture me challi jaye koi nahe brilliant gems will shine one day for sure in movies too in hollywood,1,0,2021-03-21T07:45:41Z,21,7,3,"['barkha', 'ki', 'acting', 'and', 'looking', 'alia', 'bhatt', 'se', 'bhi', 'achi', 'h', 'but', 'bad', 'luck', 'woh', 'koi', 'rich', 'baap', 'ke', 'beti', 'nahe', 'h', 'jo', 'khud', 'ka', 'pesa', 'bhur', 'ke', 'picture', 'me', 'challi', 'jaye', 'koi', 'nahe', 'brilliant', 'gems', 'will', 'shine', 'one', 'day', 'for', 'sure', 'in', 'movies', 'too', 'in', 'hollywood']","['barkha', 'ki', 'act', 'and', 'look', 'alia', 'bhatt', 'se', 'bhi', 'achi', 'h', 'but', 'bad', 'luck', 'woh', 'koi', 'rich', 'baap', 'ke', 'beti', 'nahe', 'h', 'jo', 'khud', 'ka', 'pesa', 'bhur', 'ke', 'pictur', 'me', 'challi', 'jay', 'koi', 'nahe', 'brilliant', 'gem', 'will', 'shine', 'one', 'day', 'for', 'sure', 'in', 'movi', 'too', 'in', 'hollywood']",0.9231,0.077,0.647,0.276,0.215,0.6611111111,0.2765957447,0,1,neu
Ravi S,everyone wants this kinda relationship but very very few get it nice series barkha you are gorgeous,0,0,2021-03-20T13:50:22Z,20,13,3,"['everyone', 'wants', 'this', 'kinda', 'relationship', 'but', 'very', 'very', 'few', 'get', 'it', 'nice', 'series', 'barkha', 'you', 'are', 'gorgeous']","['everyon', 'want', 'this', 'kinda', 'relationship', 'but', 'veri', 'veri', 'few', 'get', 'it', 'nice', 'seri', 'barkha', 'you', 'are', 'gorgeous']",0.8807,0.0,0.62,0.38,0.31,0.5325,0.6470588235,0,0,neu
Laasya U,who all are here after the season finale just to see ayush and barkha again,0,0,2021-03-17T05:19:03Z,17,5,3,"['who', 'all', 'are', 'here', 'after', 'the', 'season', 'finale', 'just', 'to', 'see', 'ayush', 'and', 'barkha', 'again']","['who', 'all', 'are', 'here', 'after', 'the', 'season', 'final', 'just', 'to', 'see', 'ayush', 'and', 'barkha', 'again']",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,neu
Ratna Malve,new house ayush and barkha,0,0,2021-03-14T11:48:00Z,14,11,3,"['new', 'house', 'ayush', 'and', 'barkha']","['new', 'hous', 'ayush', 'and', 'barkha']",0.0,0.0,1.0,0.0,0.13636363640000002,0.45454545450000006,0.8,0,0,neu
Aishwarya Kanade,barkha ayush are lovebtw their dresses throughout are amaaazing,1,0,2021-02-19T17:47:15Z,19,17,2,"['barkha', 'ayush', 'are', 'lovebtw', 'their', 'dresses', 'throughout', 'are', 'amaaazing']","['barkha', 'ayush', 'are', 'lovebtw', 'their', 'dress', 'throughout', 'are', 'amaaaz']",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,neu
alia shroff,aayush mehra and barkha singh bestest pair just love to watch them,2,0,2021-02-14T11:12:45Z,14,11,2,"['aayush', 'mehra', 'and', 'barkha', 'singh', 'bestest', 'pair', 'just', 'love', 'to', 'watch', 'them']","['aayush', 'mehra', 'and', 'barkha', 'singh', 'bestest', 'pair', 'just', 'love', 'to', 'watch', 'them']",0.6369,0.0,0.7240000000000001,0.276,0.5,0.6,0.5833333333,0,1,neu
Mofassera Nur,ayush and barkha plz get married i love you guys together so much,0,0,2021-02-08T09:21:36Z,8,9,2,"['ayush', 'and', 'barkha', 'plz', 'get', 'married', 'i', 'love', 'you', 'guys', 'together', 'so', 'much']","['ayush', 'and', 'barkha', 'plz', 'get', 'marri', 'i', 'love', 'you', 'guy', 'togeth', 'so', 'much']",0.6705,0.0,0.645,0.355,0.31666666670000004,0.35,0.6153846154,0,0,neu
Roanna Fernandes,hello i was pleasantly surprised to find out that there is a second season i watched the first two eps such great work a delight to watch i faintly recall liking the first mini season as well but im here to talk about the two eps of s02 which i just saw and wowowowowow the actors are great their chemistry is so believable real it is their friendship too that i dig and the supporting cast and story is gr8 too it is all so cohesive claps hands you guys handle brand placements really cleverly too i love the lead actors and nothing seems unnatural or out of place it is just so refreshing real from the disrespectful shitty colleagues peers at work to navigating power structures at work when you have been promoted to a higher position no less figuring it out as a quiet shy person or someone not used to bossing people around i appreciate the attention to detail since i could relate thank you for considering and depicting that sanyas character too is so chill wise and barkha tucks into it so effortlessly lots of repeating words i wanted to convey my appreciation for the attention to details especially the subtle ones makes all the difference everyone is doing a great job good luck,4,0,2021-02-07T14:50:17Z,7,14,2,"['hello', 'i', 'was', 'pleasantly', 'surprised', 'to', 'find', 'out', 'that', 'there', 'is', 'a', 'second', 'season', 'i', 'watched', 'the', 'first', 'two', 'eps', 'such', 'great', 'work', 'a', 'delight', 'to', 'watch', 'i', 'faintly', 'recall', 'liking', 'the', 'first', 'mini', 'season', 'as', 'well', 'but', 'im', 'here', 'to', 'talk', 'about', 'the', 'two', 'eps', 'of', 's02', 'which', 'i', 'just', 'saw', 'and', 'wowowowowow', 'the', 'actors', 'are', 'great', 'their', 'chemistry', 'is', 'so', 'believable', 'real', 'it', 'is', 'their', 'friendship', 'too', 'that', 'i', 'dig', 'and', 'the', 'supporting', 'cast', 'and', 'story', 'is', 'gr8', 'too', 'it', 'is', 'all', 'so', 'cohesive', 'claps', 'hands', 'you', 'guys', 'handle', 'brand', 'placements', 'really', 'cleverly', 'too', 'i', 'love', 'the', 'lead', 'actors', 'and', 'nothing', 'seems', 'unnatural', 'or', 'out', 'of', 'place', 'it', 'is', 'just', 'so', 'refreshing', 'real', 'from', 'the', 'disrespectful', 'shitty', 'colleagues', 'peers', 'at', 'work', 'to', 'navigating', 'power', 'structures', 'at', 'work', 'when', 'you', 'have', 'been', 'promoted', 'to', 'a', 'higher', 'position', 'no', 'less', 'figuring', 'it', 'out', 'as', 'a', 'quiet', 'shy', 'person', 'or', 'someone', 'not', 'used', 'to', 'bossing', 'people', 'around', 'i', 'appreciate', 'the', 'attention', 'to', 'detail', 'since', 'i', 'could', 'relate', 'thank', 'you', 'for', 'considering', 'and', 'depicting', 'that', 'sanyas', 'character', 'too', 'is', 'so', 'chill', 'wise', 'and', 'barkha', 'tucks', 'into', 'it', 'so', 'effortlessly', 'lots', 'of', 'repeating', 'words', 'i', 'wanted', 'to', 'convey', 'my', 'appreciation', 'for', 'the', 'attention', 'to', 'details', 'especially', 'the', 'subtle', 'ones', 'makes', 'all', 'the', 'difference', 'everyone', 'is', 'doing', 'a', 'great', 'job', 'good', 'luck']","['hello', 'i', 'was', 'pleasant', 'surpris', 'to', 'find', 'out', 'that', 'there', 'is', 'a', 'second', 'season', 'i', 'watch', 'the', 'first', 'two', 'ep', 'such', 'great', 'work', 'a', 'delight', 'to', 'watch', 'i', 'faint', 'recal', 'like', 'the', 'first', 'mini', 'season', 'as', 'well', 'but', 'im', 'here', 'to', 'talk', 'about', 'the', 'two', 'ep', 'of', 's02', 'which', 'i', 'just', 'saw', 'and', 'wowowowowow', 'the', 'actor', 'are', 'great', 'their', 'chemistri', 'is', 'so', 'believ', 'real', 'it', 'is', 'their', 'friendship', 'too', 'that', 'i', 'dig', 'and', 'the', 'support', 'cast', 'and', 'stori', 'is', 'gr8', 'too', 'it', 'is', 'all', 'so', 'cohes', 'clap', 'hand', 'you', 'guy', 'handl', 'brand', 'placement', 'realli', 'clever', 'too', 'i', 'love', 'the', 'lead', 'actor', 'and', 'noth', 'seem', 'unnatur', 'or', 'out', 'of', 'place', 'it', 'is', 'just', 'so', 'refresh', 'real', 'from', 'the', 'disrespect', 'shitti', 'colleagu', 'peer', 'at', 'work', 'to', 'navig', 'power', 'structur', 'at', 'work', 'when', 'you', 'have', 'been', 'promot', 'to', 'a', 'higher', 'posit', 'no', 'less', 'figur', 'it', 'out', 'as', 'a', 'quiet', 'shi', 'person', 'or', 'someon', 'not', 'use', 'to', 'boss', 'peopl', 'around', 'i', 'appreci', 'the', 'attent', 'to', 'detail', 'sinc', 'i', 'could', 'relat', 'thank', 'you', 'for', 'consid', 'and', 'depict', 'that', 'sanya', 'charact', 'too', 'is', 'so', 'chill', 'wise', 'and', 'barkha', 'tuck', 'into', 'it', 'so', 'effortless', 'lot', 'of', 'repeat', 'word', 'i', 'want', 'to', 'convey', 'my', 'appreci', 'for', 'the', 'attent', 'to', 'detail', 'especi', 'the', 'subtl', 'one', 'make', 'all', 'the', 'differ', 'everyon', 'is', 'do', 'a', 'great', 'job', 'good', 'luck']",0.9967,0.038,0.6809999999999999,0.28,0.2381944444,0.5625,0.38990825689999997,0,1,neu
Sandesh Sandesh,i don t whats for real but you guys ayush and barkha looks really great together,0,0,2021-02-07T12:54:52Z,7,12,2,"['i', 'don', 't', 'whats', 'for', 'real', 'but', 'you', 'guys', 'ayush', 'and', 'barkha', 'looks', 'really', 'great', 'together']","['i', 'don', 't', 'what', 'for', 'real', 'but', 'you', 'guy', 'ayush', 'and', 'barkha', 'look', 'realli', 'great', 'togeth']",0.7958,0.0,0.6809999999999999,0.319,0.5,0.525,0.1875,0,0,neu
