Unnamed: 0,Name,Comment,Likes,Reply_Count,Time,date,hour,month,Tokenize,stemmed,compound,neg,neu,pos,polarity,subjectivity,empath_score,Reply_Class,Like_Class,sentiment_status
12,Mamta Chaudhari,i am watching this video since i was in college i always wondered how would it feel to have this much amount of salary today i have same salary but when it comes to pending i feel like my salary still have half sleeve shirt and pants with no dirt,0,0,2021-09-14T05:27:54Z,14,5,9,"['i', 'am', 'watching', 'this', 'video', 'since', 'i', 'was', 'in', 'college', 'i', 'always', 'wondered', 'how', 'would', 'it', 'feel', 'to', 'have', 'this', 'much', 'amount', 'of', 'salary', 'today', 'i', 'have', 'same', 'salary', 'but', 'when', 'it', 'comes', 'to', 'pending', 'i', 'feel', 'like', 'my', 'salary', 'still', 'have', 'half', 'sleeve', 'shirt', 'and', 'pants', 'with', 'no', 'dirt']","['i', 'am', 'watch', 'this', 'video', 'sinc', 'i', 'was', 'in', 'colleg', 'i', 'alway', 'wonder', 'how', 'would', 'it', 'feel', 'to', 'have', 'this', 'much', 'amount', 'of', 'salari', 'today', 'i', 'have', 'same', 'salari', 'but', 'when', 'it', 'come', 'to', 'pend', 'i', 'feel', 'like', 'my', 'salari', 'still', 'have', 'half', 'sleev', 'shirt', 'and', 'pant', 'with', 'no', 'dirt']",-0.3919,0.115,0.821,0.064,0.011111111111111118,0.1638888888888889,1.1600000000000006,0,0,neu
13,Nitesh Maurya,wonderful concept mmm,0,0,2021-09-14T05:27:54Z,14,5,9,"['wonderful', 'concept', 'mmm']","['wonder', 'concept', 'mmm']",0.5719,0.0,0.35100000000000003,0.649,1.0,1.0,1.0,0,0,pos
14,Mind Games Motivation,it s truly amazing,0,0,2021-09-14T03:40:49Z,14,3,9,"['it', 's', 'truly', 'amazing']","['it', 's', 'truli', 'amaz']",0.7717,0.0,0.13,0.87,0.6000000000000001,0.9,0.25,0,0,pos
15,Hellotherehi,godhaaa i love this actress and maan n that actor is living his life as salary,1,0,2021-09-14T03:40:49Z,14,3,9,"['godhaaa', 'i', 'love', 'this', 'actress', 'and', 'maan', 'n', 'that', 'actor', 'is', 'living', 'his', 'life', 'as', 'salary']","['godhaaa', 'i', 'love', 'this', 'actress', 'and', 'maan', 'n', 'that', 'actor', 'is', 'live', 'his', 'life', 'as', 'salari']",0.6369,0.0,0.7559999999999999,0.244,0.5,0.6,1.1875,0,1,neu
16,dharmik thakkar,creativity to its best,0,0,2021-09-13T17:02:55Z,13,17,9,"['creativity', 'to', 'its', 'best']","['creativ', 'to', 'it', 'best']",0.7783,0.0,0.22699999999999998,0.773,1.0,0.3,0.75,0,0,pos
17,Sunil Kumar,actress name kya hi,0,0,2021-09-13T17:02:55Z,13,17,9,"['actress', 'name', 'kya', 'hi']","['actress', 'name', 'kya', 'hi']",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,neu
18,Amber sen,she gets alimony because she never worked a day in the month,0,0,2021-09-13T15:07:04Z,13,15,9,"['she', 'gets', 'alimony', 'because', 'she', 'never', 'worked', 'a', 'day', 'in', 'the', 'month']","['she', 'get', 'alimoni', 'becaus', 'she', 'never', 'work', 'a', 'day', 'in', 'the', 'month']",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,neu
19,Praneeth Nemani,anyone noticed that the actor s name is of vk s daughter,0,0,2021-09-13T15:07:04Z,13,15,9,"['anyone', 'noticed', 'that', 'the', 'actor', 's', 'name', 'is', 'of', 'vk', 's', 'daughter']","['anyon', 'notic', 'that', 'the', 'actor', 's', 'name', 'is', 'of', 'vk', 's', 'daughter']",0.0,0.0,1.0,0.0,0.0,0.0,0.5,0,0,neu
20,Shridhar Shetti,did anyone notice that she didn t pay takes,1,0,2021-09-13T07:18:30Z,13,7,9,"['did', 'anyone', 'notice', 'that', 'she', 'didn', 't', 'pay', 'takes']","['did', 'anyon', 'notic', 'that', 'she', 'didn', 't', 'pay', 'take']",-0.1027,0.16699999999999998,0.833,0.0,0.0,0.0,0.7777777777777779,0,1,neu
21,Promila Kaushik,omg how could people be so creative loved itttttr,1,0,2021-09-13T07:18:30Z,13,7,9,"['omg', 'how', 'could', 'people', 'be', 'so', 'creative', 'loved', 'itttttr']","['omg', 'how', 'could', 'peopl', 'be', 'so', 'creativ', 'love', 'itttttr']",0.8368,0.0,0.469,0.531,0.6,0.9,0.5555555555555556,0,1,pos
22,Rakesh Pakkam,how can i get salary with out doing any job,1,0,2021-09-12T07:06:33Z,12,7,9,"['how', 'can', 'i', 'get', 'salary', 'with', 'out', 'doing', 'any', 'job']","['how', 'can', 'i', 'get', 'salari', 'with', 'out', 'do', 'ani', 'job']",0.0,0.0,1.0,0.0,0.0,0.0,1.7,0,1,neu
23,chetan sharma,what an imaginary video,0,0,2021-09-12T07:06:33Z,12,7,9,"['what', 'an', 'imaginary', 'video']","['what', 'an', 'imaginari', 'video']",0.0,0.0,1.0,0.0,0.0,0.0,0.75,0,0,neu
24,BAD 99,it teaches me the value of money,1,0,2021-09-11T18:21:32Z,11,18,9,"['it', 'teaches', 'me', 'the', 'value', 'of', 'money']","['it', 'teach', 'me', 'the', 'valu', 'of', 'money']",0.34,0.0,0.7140000000000001,0.28600000000000003,0.0,0.0,0.7142857142857142,0,1,neu
25,DEEP kumar,ghar chalana bada mushkil ho gaya hai expansive bahut bed gay hai salerie all time to pinlife arrange bugget,0,0,2021-09-11T18:21:32Z,11,18,9,"['ghar', 'chalana', 'bada', 'mushkil', 'ho', 'gaya', 'hai', 'expansive', 'bahut', 'bed', 'gay', 'hai', 'salerie', 'all', 'time', 'to', 'pinlife', 'arrange', 'bugget']","['ghar', 'chalana', 'bada', 'mushkil', 'ho', 'gaya', 'hai', 'expans', 'bahut', 'bed', 'gay', 'hai', 'saleri', 'all', 'time', 'to', 'pinlif', 'arrang', 'bugget']",0.0,0.0,1.0,0.0,0.4166666666666667,0.5833333333333334,0.2631578947368421,0,0,neu
26,divya swami,lovely guys,0,0,2021-09-11T11:32:41Z,11,11,9,"['lovely', 'guys']","['love', 'guy']",0.5859,0.0,0.20800000000000002,0.792,0.5,0.75,1.5,0,0,pos
27,Tere Jaisa Yaar Kha,you guys are getting salary in advance,0,0,2021-09-11T11:32:41Z,11,11,9,"['you', 'guys', 'are', 'getting', 'salary', 'in', 'advance']","['you', 'guy', 'are', 'get', 'salari', 'in', 'advanc']",0.0,0.0,1.0,0.0,0.0,0.0,1.2857142857142854,0,0,neu
28,Tanishka Jain,what did she work she just get salary and spent the whole month,0,0,2021-09-10T13:48:46Z,10,13,9,"['what', 'did', 'she', 'work', 'she', 'just', 'get', 'salary', 'and', 'spent', 'the', 'whole', 'month']","['what', 'did', 'she', 'work', 'she', 'just', 'get', 'salari', 'and', 'spent', 'the', 'whole', 'month']",0.0,0.0,1.0,0.0,0.05,0.25,0.8461538461538459,0,0,neu
29,study adda,at 6 00 every boyfriend to his girlfriend,0,0,2021-09-10T13:48:46Z,10,13,9,"['at', '6', '00', 'every', 'boyfriend', 'to', 'his', 'girlfriend']","['at', '6', '00', 'everi', 'boyfriend', 'to', 'his', 'girlfriend']",0.0,0.0,1.0,0.0,0.0,0.0,0.625,0,0,neu
30,Bargain Duniya,very well picturised,0,0,2021-09-10T12:34:41Z,10,12,9,"['very', 'well', 'picturised']","['veri', 'well', 'picturis']",0.3384,0.0,0.455,0.545,0.2,0.3,0.0,0,0,pos
31,Chandrasekhar Sampangi,good moral sister,0,0,2021-09-10T12:34:41Z,10,12,9,"['good', 'moral', 'sister']","['good', 'moral', 'sister']",0.4404,0.0,0.408,0.5920000000000001,0.35,0.425,2.6666666666666665,0,0,pos
32,Chandana Manamperi,in this whole video i imagine that salary as the time because of my exams,2,0,2021-09-10T10:34:41Z,10,10,9,"['in', 'this', 'whole', 'video', 'i', 'imagine', 'that', 'salary', 'as', 'the', 'time', 'because', 'of', 'my', 'exams']","['in', 'this', 'whole', 'video', 'i', 'imagin', 'that', 'salari', 'as', 'the', 'time', 'becaus', 'of', 'my', 'exam']",0.0,0.0,1.0,0.0,0.2,0.4,0.8666666666666666,0,1,neu
33,Online Demo   Tutorials,salute the concept n creativity,0,0,2021-09-10T10:34:41Z,10,10,9,"['salute', 'the', 'concept', 'n', 'creativity']","['salut', 'the', 'concept', 'n', 'creativ']",0.3818,0.0,0.536,0.46399999999999997,0.0,0.0,0.4,0,0,neu
34,Jaya Aich,they both were in jab we met i realised it today,0,0,2021-09-10T01:02:32Z,10,1,9,"['they', 'both', 'were', 'in', 'jab', 'we', 'met', 'i', 'realised', 'it', 'today']","['they', 'both', 'were', 'in', 'jab', 'we', 'met', 'i', 'realis', 'it', 'today']",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,neu
35,Sharad Gurung,and the circle repeats,0,0,2021-09-10T01:02:32Z,10,1,9,"['and', 'the', 'circle', 'repeats']","['and', 'the', 'circl', 'repeat']",0.0,0.0,1.0,0.0,0.0,0.0,0.25,0,0,neu
36,Ashish Kumar,amazing content true story for me,0,0,2021-09-09T21:47:12Z,9,21,9,"['amazing', 'content', 'true', 'story', 'for', 'me']","['amaz', 'content', 'true', 'stori', 'for', 'me']",0.765,0.0,0.377,0.623,0.475,0.775,0.6666666666666666,0,0,pos
37,Yogesh Jangir,when your salary in not 50 but 20,0,0,2021-09-09T21:47:12Z,9,21,9,"['when', 'your', 'salary', 'in', 'not', '50', 'but', '20']","['when', 'your', 'salari', 'in', 'not', '50', 'but', '20']",0.0,0.0,1.0,0.0,0.0,0.0,1.125,0,0,neu
38,deepak vaishy,nice concept to understand the salary and it s importance,0,0,2021-09-09T19:51:22Z,9,19,9,"['nice', 'concept', 'to', 'understand', 'the', 'salary', 'and', 'it', 's', 'importance']","['nice', 'concept', 'to', 'understand', 'the', 'salari', 'and', 'it', 's', 'import']",0.6486,0.0,0.569,0.431,0.6,1.0,1.3,0,0,neu
39,bantu top,the girls is very sweet,0,0,2021-09-09T19:51:22Z,9,19,9,"['the', 'girls', 'is', 'very', 'sweet']","['the', 'girl', 'is', 'veri', 'sweet']",0.5095,0.0,0.5479999999999999,0.452,0.455,0.8450000000000001,0.8,0,0,neu
40,Rahul Pingle,the one the of the most funniest concepts i have ever seen tooooo goood,0,0,2021-09-09T13:50:53Z,9,13,9,"['the', 'one', 'the', 'of', 'the', 'most', 'funniest', 'concepts', 'i', 'have', 'ever', 'seen', 'tooooo', 'goood']","['the', 'one', 'the', 'of', 'the', 'most', 'funniest', 'concept', 'i', 'have', 'ever', 'seen', 'tooooo', 'goood']",0.5984,0.0,0.755,0.245,0.5,0.5,0.0,0,0,neu
41,Kashan Javed,what do you spend your salary on me i pay my previous month loans as someone said a salaried person is just one step ahead of poverty,1,0,2021-09-09T13:50:53Z,9,13,9,"['what', 'do', 'you', 'spend', 'your', 'salary', 'on', 'me', 'i', 'pay', 'my', 'previous', 'month', 'loans', 'as', 'someone', 'said', 'a', 'salaried', 'person', 'is', 'just', 'one', 'step', 'ahead', 'of', 'poverty']","['what', 'do', 'you', 'spend', 'your', 'salari', 'on', 'me', 'i', 'pay', 'my', 'previous', 'month', 'loan', 'as', 'someon', 'said', 'a', 'salari', 'person', 'is', 'just', 'one', 'step', 'ahead', 'of', 'poverti']",-0.5719,0.17,0.83,0.0,-0.16666666666666666,0.16666666666666666,0.7777777777777777,0,1,neu
42,Alina Alina,what am i pocket money,0,0,2021-09-09T11:08:17Z,9,11,9,"['what', 'am', 'i', 'pocket', 'money']","['what', 'am', 'i', 'pocket', 'money']",0.0,0.0,1.0,0.0,0.0,0.0,0.8,0,0,neu
43,Shalini Vishwakarma,i just love veer he s outstanding everytime,6,0,2021-09-09T11:08:17Z,9,11,9,"['i', 'just', 'love', 'veer', 'he', 's', 'outstanding', 'everytime']","['i', 'just', 'love', 'veer', 'he', 's', 'outstand', 'everytim']",0.8481,0.0,0.32799999999999996,0.672,0.5,0.7375,1.25,0,1,pos
44,Krishna Kumar,kid watched for time passmen watched for story and conceptlegends watched for girl s eye and boy s acting,0,0,2021-09-09T05:19:52Z,9,5,9,"['kid', 'watched', 'for', 'time', 'passmen', 'watched', 'for', 'story', 'and', 'conceptlegends', 'watched', 'for', 'girl', 's', 'eye', 'and', 'boy', 's', 'acting']","['kid', 'watch', 'for', 'time', 'passmen', 'watch', 'for', 'stori', 'and', 'conceptlegend', 'watch', 'for', 'girl', 's', 'eye', 'and', 'boy', 's', 'act']",0.0,0.0,1.0,0.0,0.0,0.0,0.8947368421052633,0,0,neu
45,Kala Peters,who is the salary to decide it is her hard worked money na,0,0,2021-09-09T05:19:52Z,9,5,9,"['who', 'is', 'the', 'salary', 'to', 'decide', 'it', 'is', 'her', 'hard', 'worked', 'money', 'na']","['who', 'is', 'the', 'salari', 'to', 'decid', 'it', 'is', 'her', 'hard', 'work', 'money', 'na']",-0.1027,0.10400000000000001,0.8959999999999999,0.0,-0.2916666666666667,0.5416666666666666,1.1538461538461535,0,0,neu
46,C  vasantha Kumar,really this man is a great actor,1,0,2021-09-09T04:13:54Z,9,4,9,"['really', 'this', 'man', 'is', 'a', 'great', 'actor']","['realli', 'this', 'man', 'is', 'a', 'great', 'actor']",0.6249,0.0,0.5489999999999999,0.451,0.5,0.475,0.857142857142857,0,1,neu
47,C  vasantha Kumar,it s really well very good video,1,0,2021-09-09T04:13:54Z,9,4,9,"['it', 's', 'really', 'well', 'very', 'good', 'video']","['it', 's', 'realli', 'well', 'veri', 'good', 'video']",0.705,0.0,0.406,0.594,0.5549999999999999,0.4900000000000001,0.42857142857142855,0,1,pos
48,Shreta Reddy,why was i crying,1,0,2021-09-09T02:25:17Z,9,2,9,"['why', 'was', 'i', 'crying']","['whi', 'was', 'i', 'cri']",-0.4767,0.608,0.392,0.0,-0.2,0.6,0.5,0,1,neg
49,Ali Saheeb Tinwala,this has been my situation for the past two months i hope i treat my salary better in the upcoming months,0,0,2021-09-09T02:25:17Z,9,2,9,"['this', 'has', 'been', 'my', 'situation', 'for', 'the', 'past', 'two', 'months', 'i', 'hope', 'i', 'treat', 'my', 'salary', 'better', 'in', 'the', 'upcoming', 'months']","['this', 'has', 'been', 'my', 'situat', 'for', 'the', 'past', 'two', 'month', 'i', 'hope', 'i', 'treat', 'my', 'salari', 'better', 'in', 'the', 'upcom', 'month']",0.8176,0.0,0.653,0.34700000000000003,0.125,0.375,0.8095238095238096,0,0,neu
50,saira jabbar,wtf salary is a man no wonder he keeps leaving lol,0,0,2021-09-08T16:07:16Z,8,16,9,"['wtf', 'salary', 'is', 'a', 'man', 'no', 'wonder', 'he', 'keeps', 'leaving', 'lol']","['wtf', 'salari', 'is', 'a', 'man', 'no', 'wonder', 'he', 'keep', 'leav', 'lol']",-0.4939,0.38,0.44299999999999995,0.177,0.15000000000000002,0.85,0.9090909090909092,0,0,neu
51,Let There Be LIGHT,for we all have sinned and turned away from god we can t connect to god anymore but god so loved the world that he gave his only son for us that through him we may be healed and have eternal life and he was jesus christ the son of the living god and god himself who gave up his life for us as a holy sacrifice on the hill of calvary all for us he was beaten and pierced and through his stripes we are healed because of him the broken relationship between god and man because of sin has now been restored all our sins which were too much to be forgiven on basis of deeds now is forgivable all because of him therefore brethren now rejoice for the price has been paid now all we ve to do is to repent and turn to god that this sacrifice may be applied on us and that through him we may attain salvation and eternal life and a relationship with the creator of the universe our god blessed be his name forever and ever obviously every decision is upon you as you wish may it happen all i can is pray for you that he may soften your heart and reveal all knowledge of the gospel at the right time god bless all of you and your families and all around you abundantly ame,0,0,2021-09-08T16:07:16Z,8,16,9,"['for', 'we', 'all', 'have', 'sinned', 'and', 'turned', 'away', 'from', 'god', 'we', 'can', 't', 'connect', 'to', 'god', 'anymore', 'but', 'god', 'so', 'loved', 'the', 'world', 'that', 'he', 'gave', 'his', 'only', 'son', 'for', 'us', 'that', 'through', 'him', 'we', 'may', 'be', 'healed', 'and', 'have', 'eternal', 'life', 'and', 'he', 'was', 'jesus', 'christ', 'the', 'son', 'of', 'the', 'living', 'god', 'and', 'god', 'himself', 'who', 'gave', 'up', 'his', 'life', 'for', 'us', 'as', 'a', 'holy', 'sacrifice', 'on', 'the', 'hill', 'of', 'calvary', 'all', 'for', 'us', 'he', 'was', 'beaten', 'and', 'pierced', 'and', 'through', 'his', 'stripes', 'we', 'are', 'healed', 'because', 'of', 'him', 'the', 'broken', 'relationship', 'between', 'god', 'and', 'man', 'because', 'of', 'sin', 'has', 'now', 'been', 'restored', 'all', 'our', 'sins', 'which', 'were', 'too', 'much', 'to', 'be', 'forgiven', 'on', 'basis', 'of', 'deeds', 'now', 'is', 'forgivable', 'all', 'because', 'of', 'him', 'therefore', 'brethren', 'now', 'rejoice', 'for', 'the', 'price', 'has', 'been', 'paid', 'now', 'all', 'we', 've', 'to', 'do', 'is', 'to', 'repent', 'and', 'turn', 'to', 'god', 'that', 'this', 'sacrifice', 'may', 'be', 'applied', 'on', 'us', 'and', 'that', 'through', 'him', 'we', 'may', 'attain', 'salvation', 'and', 'eternal', 'life', 'and', 'a', 'relationship', 'with', 'the', 'creator', 'of', 'the', 'universe', 'our', 'god', 'blessed', 'be', 'his', 'name', 'forever', 'and', 'ever', 'obviously', 'every', 'decision', 'is', 'upon', 'you', 'as', 'you', 'wish', 'may', 'it', 'happen', 'all', 'i', 'can', 'is', 'pray', 'for', 'you', 'that', 'he', 'may', 'soften', 'your', 'heart', 'and', 'reveal', 'all', 'knowledge', 'of', 'the', 'gospel', 'at', 'the', 'right', 'time', 'god', 'bless', 'all', 'of', 'you', 'and', 'your', 'families', 'and', 'all', 'around', 'you', 'abundantly', 'ame']","['for', 'we', 'all', 'have', 'sin', 'and', 'turn', 'away', 'from', 'god', 'we', 'can', 't', 'connect', 'to', 'god', 'anymor', 'but', 'god', 'so', 'love', 'the', 'world', 'that', 'he', 'gave', 'his', 'onli', 'son', 'for', 'us', 'that', 'through', 'him', 'we', 'may', 'be', 'heal', 'and', 'have', 'etern', 'life', 'and', 'he', 'was', 'jesus', 'christ', 'the', 'son', 'of', 'the', 'live', 'god', 'and', 'god', 'himself', 'who', 'gave', 'up', 'his', 'life', 'for', 'us', 'as', 'a', 'holi', 'sacrific', 'on', 'the', 'hill', 'of', 'calvari', 'all', 'for', 'us', 'he', 'was', 'beaten', 'and', 'pierc', 'and', 'through', 'his', 'stripe', 'we', 'are', 'heal', 'becaus', 'of', 'him', 'the', 'broken', 'relationship', 'between', 'god', 'and', 'man', 'becaus', 'of', 'sin', 'has', 'now', 'been', 'restor', 'all', 'our', 'sin', 'which', 'were', 'too', 'much', 'to', 'be', 'forgiven', 'on', 'basi', 'of', 'deed', 'now', 'is', 'forgiv', 'all', 'becaus', 'of', 'him', 'therefor', 'brethren', 'now', 'rejoic', 'for', 'the', 'price', 'has', 'been', 'paid', 'now', 'all', 'we', 've', 'to', 'do', 'is', 'to', 'repent', 'and', 'turn', 'to', 'god', 'that', 'this', 'sacrific', 'may', 'be', 'appli', 'on', 'us', 'and', 'that', 'through', 'him', 'we', 'may', 'attain', 'salvat', 'and', 'etern', 'life', 'and', 'a', 'relationship', 'with', 'the', 'creator', 'of', 'the', 'univers', 'our', 'god', 'bless', 'be', 'his', 'name', 'forev', 'and', 'ever', 'obvious', 'everi', 'decis', 'is', 'upon', 'you', 'as', 'you', 'wish', 'may', 'it', 'happen', 'all', 'i', 'can', 'is', 'pray', 'for', 'you', 'that', 'he', 'may', 'soften', 'your', 'heart', 'and', 'reveal', 'all', 'knowledg', 'of', 'the', 'gospel', 'at', 'the', 'right', 'time', 'god', 'bless', 'all', 'of', 'you', 'and', 'your', 'famili', 'and', 'all', 'around', 'you', 'abund', 'ame']",0.9901,0.059000000000000004,0.736,0.205,0.19795918367346935,0.6265306122448979,0.4808510638297875,0,0,neu
52,Utkarsh Jha,this real funny lol seems like realtionship story,0,0,2021-09-07T14:17:58Z,7,14,9,"['this', 'real', 'funny', 'lol', 'seems', 'like', 'realtionship', 'story']","['this', 'real', 'funni', 'lol', 'seem', 'like', 'realtionship', 'stori']",0.802,0.0,0.379,0.621,0.5875,0.85,0.5,0,0,pos
53,jyoti Rani,but it s true,0,0,2021-09-07T14:17:58Z,7,14,9,"['but', 'it', 's', 'true']","['but', 'it', 's', 'true']",0.5719,0.0,0.35100000000000003,0.649,0.35,0.65,0.5,0,0,pos
54,Emir,this is actually single person who earn for family,0,0,2021-09-06T19:01:24Z,6,19,9,"['this', 'is', 'actually', 'single', 'person', 'who', 'earn', 'for', 'family']","['this', 'is', 'actual', 'singl', 'person', 'who', 'earn', 'for', 'famili']",0.0,0.0,1.0,0.0,-0.07142857142857142,0.21428571428571427,1.2222222222222223,0,0,neu
55,Govardhan11iphone Police,they forgot to mention credit card actually i live with my salary for 1 and and end up living with credit card 29 days,0,0,2021-09-06T19:01:24Z,6,19,9,"['they', 'forgot', 'to', 'mention', 'credit', 'card', 'actually', 'i', 'live', 'with', 'my', 'salary', 'for', '1', 'and', 'and', 'end', 'up', 'living', 'with', 'credit', 'card', '29', 'days']","['they', 'forgot', 'to', 'mention', 'credit', 'card', 'actual', 'i', 'live', 'with', 'my', 'salari', 'for', '1', 'and', 'and', 'end', 'up', 'live', 'with', 'credit', 'card', '29', 'day']",0.6369,0.0,0.794,0.20600000000000002,0.13636363636363635,0.5,0.9999999999999998,0,0,neu
56,Manjunath T N,its very funny,0,0,2021-09-05T08:10:36Z,5,8,9,"['its', 'very', 'funny']","['it', 'veri', 'funni']",0.4927,0.0,0.385,0.615,0.325,1.0,0.6666666666666666,0,0,pos
57,Mohammed Arif Ali,that hattt was nice,0,0,2021-09-05T08:10:36Z,5,8,9,"['that', 'hattt', 'was', 'nice']","['that', 'hattt', 'was', 'nice']",0.4215,0.0,0.517,0.483,0.6,1.0,0.5,0,0,neu
58,Mayank Op,note two points 1 she don t work after getting salary even not a single hour 2 the person who played the role of salary also played the role of boyfriend both are completely relatable reply if agree gus,1,1,2021-09-01T16:42:38Z,1,16,9,"['note', 'two', 'points', '1', 'she', 'don', 't', 'work', 'after', 'getting', 'salary', 'even', 'not', 'a', 'single', 'hour', '2', 'the', 'person', 'who', 'played', 'the', 'role', 'of', 'salary', 'also', 'played', 'the', 'role', 'of', 'boyfriend', 'both', 'are', 'completely', 'relatable', 'reply', 'if', 'agree', 'gus']","['note', 'two', 'point', '1', 'she', 'don', 't', 'work', 'after', 'get', 'salari', 'even', 'not', 'a', 'singl', 'hour', '2', 'the', 'person', 'who', 'play', 'the', 'role', 'of', 'salari', 'also', 'play', 'the', 'role', 'of', 'boyfriend', 'both', 'are', 'complet', 'relat', 'repli', 'if', 'agre', 'gus']",0.743,0.0,0.8140000000000001,0.18600000000000003,0.06785714285714288,0.3071428571428572,0.9230769230769234,1,1,neu
