Unnamed: 0,Name,Comment,Likes,Reply_Count,Time,date,hour,month,Tokenize,stemmed,compound,neg,neu,pos,polarity,subjectivity,empath_score,Reply_Class,Like_Class,Reply_Class,Like_Class,sentiment_status
10,ABSOLUTE GAMER FF,plot twist tmrw is my exam,1,0,2021-09-15T19:18:21Z,15,19,9,"['plot', 'twist', 'tmrw', 'is', 'my', 'exam']","['plot', 'twist', 'tmrw', 'is', 'my', 'exam']",0.0,0.0,1.0,0.0,0.0,0.0,0.5,0,1,0,1,neu
11,prakhar gupta,4 16 this is what i am always saying to mr haram chand verma a k a h c verma when i study his book,0,1,2021-09-15T19:18:21Z,15,19,9,"['4', '16', 'this', 'is', 'what', 'i', 'am', 'always', 'saying', 'to', 'mr', 'haram', 'chand', 'verma', 'a', 'k', 'a', 'h', 'c', 'verma', 'when', 'i', 'study', 'his', 'book']","['4', '16', 'this', 'is', 'what', 'i', 'am', 'alway', 'say', 'to', 'mr', 'haram', 'chand', 'verma', 'a', 'k', 'a', 'h', 'c', 'verma', 'when', 'i', 'studi', 'his', 'book']",0.0,0.0,1.0,0.0,0.0,0.0,0.32,1,0,1,0,neu
12,idk,papa and mummy vala scene funniest tha,1,0,2021-09-15T07:27:29Z,15,7,9,"['papa', 'and', 'mummy', 'vala', 'scene', 'funniest', 'tha']","['papa', 'and', 'mummi', 'vala', 'scene', 'funniest', 'tha']",0.5574,0.0,0.625,0.375,0.0,0.0,0.14285714285714285,0,1,0,1,neu
13,Eera Srivastav,me haveing a exam tomorrow me watching this,0,0,2021-09-15T07:27:29Z,15,7,9,"['me', 'haveing', 'a', 'exam', 'tomorrow', 'me', 'watching', 'this']","['me', 'have', 'a', 'exam', 'tomorrow', 'me', 'watch', 'this']",0.0,0.0,1.0,0.0,0.0,0.0,0.375,0,0,0,0,neu
14,Asmita Goswami,ky periodic table bnayi h,0,0,2021-09-15T07:23:47Z,15,7,9,"['ky', 'periodic', 'table', 'bnayi', 'h']","['ky', 'period', 'tabl', 'bnayi', 'h']",0.0,0.0,1.0,0.0,0.0,0.0,0.6000000000000001,0,0,0,0,neu
15,Alekhya Ghosh,hope h c verma is not watching this video,0,0,2021-09-15T07:23:47Z,15,7,9,"['hope', 'h', 'c', 'verma', 'is', 'not', 'watching', 'this', 'video']","['hope', 'h', 'c', 'verma', 'is', 'not', 'watch', 'this', 'video']",0.4404,0.0,0.674,0.326,0.0,0.0,0.5555555555555556,0,0,0,0,neu
16,Shibasis Prusty,don t watch this video during your studies or you will,0,0,2021-09-14T15:30:26Z,14,15,9,"['don', 't', 'watch', 'this', 'video', 'during', 'your', 'studies', 'or', 'you', 'will']","['don', 't', 'watch', 'this', 'video', 'dure', 'your', 'studi', 'or', 'you', 'will']",0.0,0.0,1.0,0.0,0.0,0.0,0.3636363636363637,0,0,0,0,neu
17,Merry charm,filter copy pe ashish,0,0,2021-09-14T15:30:26Z,14,15,9,"['filter', 'copy', 'pe', 'ashish']","['filter', 'copi', 'pe', 'ashish']",0.0,0.0,1.0,0.0,0.0,0.0,0.75,0,0,0,0,neu
18,Abhay Shukla,4 07 please aisa mt kro aap jante ho hc verma sir is a legend unhe padma shri mila hai please unki aisi insult mt kro i know this is the part of a joke but this time ashish bhaiya you cross the limit sorry for saying that,0,1,2021-09-14T14:47:05Z,14,14,9,"['4', '07', 'please', 'aisa', 'mt', 'kro', 'aap', 'jante', 'ho', 'hc', 'verma', 'sir', 'is', 'a', 'legend', 'unhe', 'padma', 'shri', 'mila', 'hai', 'please', 'unki', 'aisi', 'insult', 'mt', 'kro', 'i', 'know', 'this', 'is', 'the', 'part', 'of', 'a', 'joke', 'but', 'this', 'time', 'ashish', 'bhaiya', 'you', 'cross', 'the', 'limit', 'sorry', 'for', 'saying', 'that']","['4', '07', 'pleas', 'aisa', 'mt', 'kro', 'aap', 'jant', 'ho', 'hc', 'verma', 'sir', 'is', 'a', 'legend', 'unh', 'padma', 'shri', 'mila', 'hai', 'pleas', 'unki', 'aisi', 'insult', 'mt', 'kro', 'i', 'know', 'this', 'is', 'the', 'part', 'of', 'a', 'joke', 'but', 'this', 'time', 'ashish', 'bhaiya', 'you', 'cross', 'the', 'limit', 'sorri', 'for', 'say', 'that']",0.0772,0.076,0.821,0.103,-0.25,0.5,0.2708333333333333,1,0,1,0,neu
19,CRAZY PLAYERS,ashish op,0,0,2021-09-14T14:47:05Z,14,14,9,"['ashish', 'op']","['ashish', 'op']",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,neu
20,Pulkit Singh,periodic table wali trick mne apply kr lithanks for this,0,0,2021-09-14T09:55:25Z,14,9,9,"['periodic', 'table', 'wali', 'trick', 'mne', 'apply', 'kr', 'lithanks', 'for', 'this']","['period', 'tabl', 'wali', 'trick', 'mne', 'appli', 'kr', 'lithank', 'for', 'this']",-0.0516,0.118,0.882,0.0,0.0,0.0,0.6,0,0,0,0,neu
21,HTxZeus,cerseii game of thrones,0,0,2021-09-14T09:55:25Z,14,9,9,"['cerseii', 'game', 'of', 'thrones']","['cerseii', 'game', 'of', 'throne']",0.0,0.0,1.0,0.0,-0.4,0.4,0.25,0,0,0,0,neu
22,Muskan Afroz,after 3 years youtube recommend me this,0,0,2021-09-13T14:22:44Z,13,14,9,"['after', '3', 'years', 'youtube', 'recommend', 'me', 'this']","['after', '3', 'year', 'youtub', 'recommend', 'me', 'this']",0.3612,0.0,0.667,0.333,0.0,0.0,0.0,0,0,0,0,neu
23,Triggered Aarya,periodic table scene was lit,0,0,2021-09-13T14:22:44Z,13,14,9,"['periodic', 'table', 'scene', 'was', 'lit']","['period', 'tabl', 'scene', 'was', 'lit']",0.0,0.0,1.0,0.0,0.0,0.0,0.8,0,0,0,0,neu
24,Huma Khan,holi pe nasha karke rabbi ne charas fooka it really helps me in my chemistry exam,0,0,2021-09-13T12:27:27Z,13,12,9,"['holi', 'pe', 'nasha', 'karke', 'rabbi', 'ne', 'charas', 'fooka', 'it', 'really', 'helps', 'me', 'in', 'my', 'chemistry', 'exam']","['holi', 'pe', 'nasha', 'kark', 'rabbi', 'ne', 'chara', 'fooka', 'it', 'realli', 'help', 'me', 'in', 'my', 'chemistri', 'exam']",0.4391,0.0,0.838,0.162,0.2,0.2,0.3125,0,0,0,0,neu
25,Roman reigns fan,4 26 to 4 29 love from pakistan,0,0,2021-09-13T12:27:27Z,13,12,9,"['4', '26', 'to', '4', '29', 'love', 'from', 'pakistan']","['4', '26', 'to', '4', '29', 'love', 'from', 'pakistan']",0.6369,0.0,0.5429999999999999,0.457,0.5,0.6,0.625,0,0,0,0,neu
26,Mitra Lal,ashish will you mary me,0,0,2021-09-13T11:18:14Z,13,11,9,"['ashish', 'will', 'you', 'mary', 'me']","['ashish', 'will', 'you', 'mari', 'me']",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,neu
27,Shabnam Buddi,3rd law of motion same i am studying as a student inertia,0,0,2021-09-13T11:18:14Z,13,11,9,"['3rd', 'law', 'of', 'motion', 'same', 'i', 'am', 'studying', 'as', 'a', 'student', 'inertia']","['3rd', 'law', 'of', 'motion', 'same', 'i', 'am', 'studi', 'as', 'a', 'student', 'inertia']",0.0,0.0,1.0,0.0,0.0,0.0625,1.2499999999999998,0,0,0,0,neu
28,Hangung Yaing,who just came here for ashu,0,0,2021-09-13T09:40:04Z,13,9,9,"['who', 'just', 'came', 'here', 'for', 'ashu']","['who', 'just', 'came', 'here', 'for', 'ashu']",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,neu
29,Khushbu Katara,ch5 newton s 3 lawwla mst tha,0,0,2021-09-13T09:40:04Z,13,9,9,"['ch5', 'newton', 's', '3', 'lawwla', 'mst', 'tha']","['ch5', 'newton', 's', '3', 'lawwla', 'mst', 'tha']",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,neu
30,DHRUV RANA 7A,periodic table is the easiest,1,0,2021-09-13T09:16:15Z,13,9,9,"['periodic', 'table', 'is', 'the', 'easiest']","['period', 'tabl', 'is', 'the', 'easiest']",0.4215,0.0,0.588,0.412,0.0,0.0,0.6000000000000001,0,1,0,1,neu
31,Tejas Tendulkar,ashish chanchalani op,0,0,2021-09-13T09:16:15Z,13,9,9,"['ashish', 'chanchalani', 'op']","['ashish', 'chanchalani', 'op']",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,neu
32,bantu rama,i am literally addicted to ashish neither i can t live a day without watching his videos nor i can eat without watching his videos,2,0,2021-09-13T07:13:07Z,13,7,9,"['i', 'am', 'literally', 'addicted', 'to', 'ashish', 'neither', 'i', 'can', 't', 'live', 'a', 'day', 'without', 'watching', 'his', 'videos', 'nor', 'i', 'can', 'eat', 'without', 'watching', 'his', 'videos']","['i', 'am', 'liter', 'addict', 'to', 'ashish', 'neither', 'i', 'can', 't', 'live', 'a', 'day', 'without', 'watch', 'his', 'video', 'nor', 'i', 'can', 'eat', 'without', 'watch', 'his', 'video']",0.0,0.0,1.0,0.0,-0.13181818181818186,0.55,0.24,0,1,0,1,neu
33,gaming master,the best moment is when ashish have to pay 2500 rupees to shop owner,3,0,2021-09-13T07:13:07Z,13,7,9,"['the', 'best', 'moment', 'is', 'when', 'ashish', 'have', 'to', 'pay', '2500', 'rupees', 'to', 'shop', 'owner']","['the', 'best', 'moment', 'is', 'when', 'ashish', 'have', 'to', 'pay', '2500', 'rupe', 'to', 'shop', 'owner']",0.5859,0.08,0.682,0.239,1.0,0.3,1.1428571428571426,0,1,0,1,neu
34,somebody  now,worst one ever masti k naam pe completely bakwaas writing,1,0,2021-09-12T17:59:36Z,12,17,9,"['worst', 'one', 'ever', 'masti', 'k', 'naam', 'pe', 'completely', 'bakwaas', 'writing']","['worst', 'one', 'ever', 'masti', 'k', 'naam', 'pe', 'complet', 'bakwaa', 'write']",-0.6249,0.339,0.6609999999999999,0.0,-0.45,0.7,0.5,0,1,0,1,neu
35,baby a,u should not scold to hc verma sir he is great physicist,0,0,2021-09-12T17:59:36Z,12,17,9,"['u', 'should', 'not', 'scold', 'to', 'hc', 'verma', 'sir', 'he', 'is', 'great', 'physicist']","['u', 'should', 'not', 'scold', 'to', 'hc', 'verma', 'sir', 'he', 'is', 'great', 'physicist']",0.7475,0.0,0.586,0.414,0.8,0.75,0.4166666666666666,0,0,0,0,neu
36,japjaapan singh,actually ashish should have asked for at least 6 copies as he has to pay for photocopy also,0,0,2021-09-12T14:02:43Z,12,14,9,"['actually', 'ashish', 'should', 'have', 'asked', 'for', 'at', 'least', '6', 'copies', 'as', 'he', 'has', 'to', 'pay', 'for', 'photocopy', 'also']","['actual', 'ashish', 'should', 'have', 'ask', 'for', 'at', 'least', '6', 'copi', 'as', 'he', 'has', 'to', 'pay', 'for', 'photocopi', 'also']",-0.1027,0.08,0.92,0.0,-0.15,0.25,0.38888888888888895,0,0,0,0,neu
37,white devil,rd sharma is the real hero,0,0,2021-09-12T14:02:43Z,12,14,9,"['rd', 'sharma', 'is', 'the', 'real', 'hero']","['rd', 'sharma', 'is', 'the', 'real', 'hero']",0.5574,0.0,0.581,0.419,0.2,0.30000000000000004,0.6666666666666666,0,0,0,0,neu
38,ranjith,like here how take xerox copies of notes before exam,0,0,2021-09-12T11:38:23Z,12,11,9,"['like', 'here', 'how', 'take', 'xerox', 'copies', 'of', 'notes', 'before', 'exam']","['like', 'here', 'how', 'take', 'xerox', 'copi', 'of', 'note', 'befor', 'exam']",0.3612,0.0,0.7829999999999999,0.217,0.0,0.0,0.30000000000000004,0,0,0,0,neu
39,Atharv Moghe,4 12 reason behind dislikes not funny to abuse a legend like him youtubers filmstars cricketers are all respected but the man woh taught physics to the nation is abused sad reality,6,0,2021-09-12T11:38:23Z,12,11,9,"['4', '12', 'reason', 'behind', 'dislikes', 'not', 'funny', 'to', 'abuse', 'a', 'legend', 'like', 'him', 'youtubers', 'filmstars', 'cricketers', 'are', 'all', 'respected', 'but', 'the', 'man', 'woh', 'taught', 'physics', 'to', 'the', 'nation', 'is', 'abused', 'sad', 'reality']","['4', '12', 'reason', 'behind', 'dislik', 'not', 'funni', 'to', 'abus', 'a', 'legend', 'like', 'him', 'youtub', 'filmstar', 'cricket', 'are', 'all', 'respect', 'but', 'the', 'man', 'woh', 'taught', 'physic', 'to', 'the', 'nation', 'is', 'abus', 'sad', 'realiti']",-0.8003,0.295,0.5589999999999999,0.145,-0.3416666666666666,0.9,0.75,0,1,0,1,neu
40,Dev  Patel,4 06 filter copy shame on you u insult great legend of physics,2,0,2021-09-11T18:09:33Z,11,18,9,"['4', '06', 'filter', 'copy', 'shame', 'on', 'you', 'u', 'insult', 'great', 'legend', 'of', 'physics']","['4', '06', 'filter', 'copi', 'shame', 'on', 'you', 'u', 'insult', 'great', 'legend', 'of', 'physic']",-0.3182,0.34600000000000003,0.4320000000000001,0.222,0.8,0.75,1.4615384615384608,0,1,0,1,neu
41,Vanshika Shrivastava,exam pe raksha was very reletable,0,0,2021-09-11T18:09:33Z,11,18,9,"['exam', 'pe', 'raksha', 'was', 'very', 'reletable']","['exam', 'pe', 'raksha', 'was', 'veri', 'relet']",0.0,0.0,1.0,0.0,0.2,0.3,0.5,0,0,0,0,neu
42,Somnath Das,anyone sees the mom is carrying milk everyone,0,0,2021-09-11T16:32:11Z,11,16,9,"['anyone', 'sees', 'the', 'mom', 'is', 'carrying', 'milk', 'everyone']","['anyon', 'see', 'the', 'mom', 'is', 'carri', 'milk', 'everyon']",0.0,0.0,1.0,0.0,0.0,0.0,0.625,0,0,0,0,neu
43,Sheikh sara,ashish,0,0,2021-09-11T16:32:11Z,11,16,9,['ashish'],['ashish'],0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,neu
44,Vishnu Sharma,4 07 sb kuch theek tha pr yaha pr jo legend teacher ho ble h c verma sir ki bejjati ki h tumne ye bahut bura laga as a student bad words to beep kr dete ho isko nhi kr skte the besharamthat s my reason for disliking this video,0,0,2021-09-11T15:29:18Z,11,15,9,"['4', '07', 'sb', 'kuch', 'theek', 'tha', 'pr', 'yaha', 'pr', 'jo', 'legend', 'teacher', 'ho', 'ble', 'h', 'c', 'verma', 'sir', 'ki', 'bejjati', 'ki', 'h', 'tumne', 'ye', 'bahut', 'bura', 'laga', 'as', 'a', 'student', 'bad', 'words', 'to', 'beep', 'kr', 'dete', 'ho', 'isko', 'nhi', 'kr', 'skte', 'the', 'besharamthat', 's', 'my', 'reason', 'for', 'disliking', 'this', 'video']","['4', '07', 'sb', 'kuch', 'theek', 'tha', 'pr', 'yaha', 'pr', 'jo', 'legend', 'teacher', 'ho', 'ble', 'h', 'c', 'verma', 'sir', 'ki', 'bejjati', 'ki', 'h', 'tumn', 'ye', 'bahut', 'bura', 'laga', 'as', 'a', 'student', 'bad', 'word', 'to', 'beep', 'kr', 'dete', 'ho', 'isko', 'nhi', 'kr', 'skte', 'the', 'besharamthat', 's', 'my', 'reason', 'for', 'dislik', 'this', 'video']",-0.7003,0.121,0.879,0.0,-0.6999999999999998,0.6666666666666666,0.5200000000000001,0,0,0,0,neu
45,Supriyo Chatterjee,did your mother and fathers changed,0,0,2021-09-11T15:29:18Z,11,15,9,"['did', 'your', 'mother', 'and', 'fathers', 'changed']","['did', 'your', 'mother', 'and', 'father', 'chang']",0.0,0.0,1.0,0.0,0.0,0.0,0.5,0,0,0,0,neu
46,Prerna Kashyap,whenever i see periodic table i remember holi pe nasha karke rabbi ne charas fooka,0,0,2021-09-11T10:39:23Z,11,10,9,"['whenever', 'i', 'see', 'periodic', 'table', 'i', 'remember', 'holi', 'pe', 'nasha', 'karke', 'rabbi', 'ne', 'charas', 'fooka']","['whenev', 'i', 'see', 'period', 'tabl', 'i', 'rememb', 'holi', 'pe', 'nasha', 'kark', 'rabbi', 'ne', 'chara', 'fooka']",0.0,0.0,1.0,0.0,0.0,0.0,0.2,0,0,0,0,neu
47,mayank chauhan,4 14 sorry but ye bahut glt h h c verma sir kittne great hain or aap yha unnhe disrespect kr re ho,1,0,2021-09-11T10:39:23Z,11,10,9,"['4', '14', 'sorry', 'but', 'ye', 'bahut', 'glt', 'h', 'h', 'c', 'verma', 'sir', 'kittne', 'great', 'hain', 'or', 'aap', 'yha', 'unnhe', 'disrespect', 'kr', 're', 'ho']","['4', '14', 'sorri', 'but', 'ye', 'bahut', 'glt', 'h', 'h', 'c', 'verma', 'sir', 'kittn', 'great', 'hain', 'or', 'aap', 'yha', 'unnh', 'disrespect', 'kr', 're', 'ho']",0.4215,0.183,0.604,0.213,0.15000000000000002,0.875,0.17391304347826084,0,1,0,1,neu
48,Durga Vish,my chemistry teacher also taught us a song to remember the periodic table,3,0,2021-09-10T16:23:16Z,10,16,9,"['my', 'chemistry', 'teacher', 'also', 'taught', 'us', 'a', 'song', 'to', 'remember', 'the', 'periodic', 'table']","['my', 'chemistri', 'teacher', 'also', 'taught', 'us', 'a', 'song', 'to', 'rememb', 'the', 'period', 'tabl']",0.0,0.0,1.0,0.0,0.0,0.0,1.1538461538461535,0,1,0,1,neu
49,Utisht Sammrat,first line of periodic table can be helina kabra se faraar for h li k rb cd and fr,3,0,2021-09-10T16:23:16Z,10,16,9,"['first', 'line', 'of', 'periodic', 'table', 'can', 'be', 'helina', 'kabra', 'se', 'faraar', 'for', 'h', 'li', 'k', 'rb', 'cd', 'and', 'fr']","['first', 'line', 'of', 'period', 'tabl', 'can', 'be', 'helina', 'kabra', 'se', 'faraar', 'for', 'h', 'li', 'k', 'rb', 'cd', 'and', 'fr']",0.0,0.0,1.0,0.0,0.25,0.3333333333333333,0.42105263157894735,0,1,0,1,neu
50,Aradhita Pyne,1 51 holi pe nasha karke rabbi ne charas fooka that was the most hilarious part i ve never seen anyone mug up the periodic table like that,8,0,2021-09-10T13:11:48Z,10,13,9,"['1', '51', 'holi', 'pe', 'nasha', 'karke', 'rabbi', 'ne', 'charas', 'fooka', 'that', 'was', 'the', 'most', 'hilarious', 'part', 'i', 've', 'never', 'seen', 'anyone', 'mug', 'up', 'the', 'periodic', 'table', 'like', 'that']","['1', '51', 'holi', 'pe', 'nasha', 'kark', 'rabbi', 'ne', 'chara', 'fooka', 'that', 'was', 'the', 'most', 'hilari', 'part', 'i', 've', 'never', 'seen', 'anyon', 'mug', 'up', 'the', 'period', 'tabl', 'like', 'that']",0.6697,0.0,0.8140000000000001,0.18600000000000005,0.5,0.75,0.17857142857142855,0,1,0,1,neu
51,Shivansh Pandey,best shortcut to lear the first group of periodic table halina ki tab se fariyazh li na k rb cs fr,0,0,2021-09-10T13:11:48Z,10,13,9,"['best', 'shortcut', 'to', 'lear', 'the', 'first', 'group', 'of', 'periodic', 'table', 'halina', 'ki', 'tab', 'se', 'fariyazh', 'li', 'na', 'k', 'rb', 'cs', 'fr']","['best', 'shortcut', 'to', 'lear', 'the', 'first', 'group', 'of', 'period', 'tabl', 'halina', 'ki', 'tab', 'se', 'fariyazh', 'li', 'na', 'k', 'rb', 'cs', 'fr']",0.6369,0.0,0.8190000000000001,0.181,0.625,0.31666666666666665,0.3809523809523809,0,0,0,0,neu
52,Akshita Yadav,the rksha one one was very funny,0,0,2021-09-10T07:50:18Z,10,7,9,"['the', 'rksha', 'one', 'one', 'was', 'very', 'funny']","['the', 'rksha', 'one', 'one', 'was', 'veri', 'funni']",0.4927,0.0,0.653,0.34700000000000003,0.325,1.0,0.2857142857142857,0,0,0,0,neu
53,Brian George,watching this video while preparing for exams,0,0,2021-09-10T07:50:18Z,10,7,9,"['watching', 'this', 'video', 'while', 'preparing', 'for', 'exams']","['watch', 'this', 'video', 'while', 'prepar', 'for', 'exam']",0.0,0.0,1.0,0.0,0.0,0.0,0.42857142857142855,0,0,0,0,neu
54,FUGLY,we all love ashishchanchalani and filtercopy videos but disrespecting hc verma sir is not good it s literally not good i request you to not disrespect any of the teacher,2,0,2021-09-09T16:10:43Z,9,16,9,"['we', 'all', 'love', 'ashishchanchalani', 'and', 'filtercopy', 'videos', 'but', 'disrespecting', 'hc', 'verma', 'sir', 'is', 'not', 'good', 'it', 's', 'literally', 'not', 'good', 'i', 'request', 'you', 'to', 'not', 'disrespect', 'any', 'of', 'the', 'teacher']","['we', 'all', 'love', 'ashishchanchalani', 'and', 'filtercopi', 'video', 'but', 'disrespect', 'hc', 'verma', 'sir', 'is', 'not', 'good', 'it', 's', 'liter', 'not', 'good', 'i', 'request', 'you', 'to', 'not', 'disrespect', 'ani', 'of', 'the', 'teacher']",-0.1581,0.174,0.67,0.156,-0.06666666666666665,0.6000000000000001,0.4666666666666666,0,1,0,1,neu
55,kiran s art world ,that toilet scene was timepass my god,0,0,2021-09-09T16:10:43Z,9,16,9,"['that', 'toilet', 'scene', 'was', 'timepass', 'my', 'god']","['that', 'toilet', 'scene', 'was', 'timepass', 'my', 'god']",0.2732,0.0,0.741,0.259,-0.03333333333333333,0.0,0.5714285714285714,0,0,0,0,neu
56,krittika roy,video was very entertaining we students like to connect with such pre exam things but using abusive language and gesture be it in a fun way or not can t be acceptable at least to me people may have their own opinions towards a person who s not less than a living legend and tirelessly working for development and free education of students that part could be skipped that person only and only deserves respect and nothing else nor even in a funny or comic video in my point of view again people can have their own opinions,0,0,2021-09-09T14:16:44Z,9,14,9,"['video', 'was', 'very', 'entertaining', 'we', 'students', 'like', 'to', 'connect', 'with', 'such', 'pre', 'exam', 'things', 'but', 'using', 'abusive', 'language', 'and', 'gesture', 'be', 'it', 'in', 'a', 'fun', 'way', 'or', 'not', 'can', 't', 'be', 'acceptable', 'at', 'least', 'to', 'me', 'people', 'may', 'have', 'their', 'own', 'opinions', 'towards', 'a', 'person', 'who', 's', 'not', 'less', 'than', 'a', 'living', 'legend', 'and', 'tirelessly', 'working', 'for', 'development', 'and', 'free', 'education', 'of', 'students', 'that', 'part', 'could', 'be', 'skipped', 'that', 'person', 'only', 'and', 'only', 'deserves', 'respect', 'and', 'nothing', 'else', 'nor', 'even', 'in', 'a', 'funny', 'or', 'comic', 'video', 'in', 'my', 'point', 'of', 'view', 'again', 'people', 'can', 'have', 'their', 'own', 'opinions']","['video', 'was', 'veri', 'entertain', 'we', 'student', 'like', 'to', 'connect', 'with', 'such', 'pre', 'exam', 'thing', 'but', 'use', 'abus', 'languag', 'and', 'gestur', 'be', 'it', 'in', 'a', 'fun', 'way', 'or', 'not', 'can', 't', 'be', 'accept', 'at', 'least', 'to', 'me', 'peopl', 'may', 'have', 'their', 'own', 'opinion', 'toward', 'a', 'person', 'who', 's', 'not', 'less', 'than', 'a', 'live', 'legend', 'and', 'tireless', 'work', 'for', 'develop', 'and', 'free', 'educ', 'of', 'student', 'that', 'part', 'could', 'be', 'skip', 'that', 'person', 'onli', 'and', 'onli', 'deserv', 'respect', 'and', 'noth', 'els', 'nor', 'even', 'in', 'a', 'funni', 'or', 'comic', 'video', 'in', 'my', 'point', 'of', 'view', 'again', 'peopl', 'can', 'have', 'their', 'own', 'opinion']",0.6751,0.101,0.748,0.151,0.2361111111111112,0.6980555555555555,0.4897959183673472,0,0,0,0,neu
57,Bharti Kothe,why the dot is coming,0,0,2021-09-09T14:16:44Z,9,14,9,"['why', 'the', 'dot', 'is', 'coming']","['whi', 'the', 'dot', 'is', 'come']",0.0,0.0,1.0,0.0,0.0,0.0,0.2,0,0,0,0,neu
58,Mochitaro s Lil handeu,this is the 2nd video when ashish used name gauri hahah,0,0,2021-09-09T11:49:00Z,9,11,9,"['this', 'is', 'the', '2nd', 'video', 'when', 'ashish', 'used', 'name', 'gauri', 'hahah']","['this', 'is', 'the', '2nd', 'video', 'when', 'ashish', 'use', 'name', 'gauri', 'hahah']",0.0,0.0,1.0,0.0,0.0,0.0,0.3636363636363637,0,0,0,0,neu
